"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","179836","","","","0"
"2014","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","138912","","","","0"
"2015","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","139331","","","","0"
"2016","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","140952","","","","0"
"2017","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","142732","","","","0"
"2018","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","144333","","","","0"
"2019","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","146085","","","","0"
"2020","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","147509","","","","0"
"2021","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","148732","","","","0"
"2022","Fredericton-Oromocto, New Brunswick","2016S05001340","Both sexes","All ages","Persons","249","units","0","v1061310391","18.1.1","153061","","","","0"
"2014","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","79536","","","","0"
"2015","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","79089","","","","0"
"2016","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","79012","","","","0"
"2017","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","78656","","","","0"
"2018","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","78369","","","","0"
"2019","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","78469","","","","0"
"2020","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","78369","","","","0"
"2021","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","78479","","","","0"
"2022","Edmundston-Woodstock, New Brunswick","2016S05001350","Both sexes","All ages","Persons","249","units","0","v1061310721","19.1.1","79633","","","","0"
"2014","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8150183","","","","0"
"2015","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8175272","","","","0"
"2016","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8225950","","","","0"
"2017","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8302063","","","","0"
"2018","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8401738","","","","0"
"2019","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8503483","","","","0"
"2020","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8576595","","","","0"
"2021","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8602335","","","","0"
"2022","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v1061311051","20.1.1","8695659","","","","0"
"2014","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Both sexes","All ages","Persons","249","units","0","v1061311381","21.1.1","92208","","","","0"
"2015","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Both sexes","All ages","Persons","249","units","0","v1061311381","21.1.1","91443","","","","0"
"2016","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Both sexes","All ages","Persons","249","units","0","v1061311381","21.1.1","90740","","","","0"
"2017","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Both sexes","All ages","Persons","249","units","0","v1061311381","21.1.1","90537","","","","0"
"2018","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Both sexes","All ages","Persons","249","units","0","v1061311381","21.1.1","90615","","","","0"
